AAL3_20,AAL3_21,AAL3_22,AAL3_23,AAL3_40,AAL3_41,AAL3_42,AAL3_43,AAL3_44,AAL3_45,AAL3_70,AAL3_71,AAL3_72,AAL3_73,AAL3_90,AAL3_91
-1.9842173,-2.2749646,-1.7889845,-2.157726,1.1934301,1.497884,1.131028,0.3018486,0.7833779,0.82789004,-0.8897635,-0.40809667,0.88752913,-0.35892984,-0.3427542,0.18948996
-1.7213556,-1.8526579,-1.383514,-1.6424916,1.0808421,1.3720533,0.9738261,0.45100826,0.6330013,0.7651651,-0.7536041,-0.47920316,0.87503916,-0.1238038,-0.4670434,0.19370939
-1.4048843,-1.3730458,-0.9249753,-1.086568,0.9344915,1.2183734,0.8065793,0.5398329,0.48192728,0.66051203,-0.58530486,-0.5461213,0.871534,0.13543671,-0.58037025,0.20037557
-1.0383621,-0.8552334,-0.43222317,-0.51296747,0.74366266,1.0272615,0.62932056,0.5339431,0.33127743,0.49722984,-0.39002082,-0.5998728,0.86329055,0.4054896,-0.6563912,0.2045187
-0.640369,-0.34004474,0.053854384,0.03707104,0.5019704,0.79558873,0.439338,0.41130254,0.17958857,0.26849326,-0.18472221,-0.62997514,0.82934517,0.6593496,-0.6655906,0.2052127
-0.24716422,0.1126811,0.47057205,0.5058859,0.21537232,0.53335166,0.23377244,0.17861934,0.024716333,-0.013235741,0.0011622735,-0.6269944,0.746883,0.8563197,-0.5855249,0.20816652
0.092641495,0.43952838,0.7461601,0.83169293,-0.09181493,0.2657582,0.014388645,-0.12093452,-0.13170831,-0.3123694,0.13113464,-0.58623195,0.6006159,0.95015186,-0.41296577,0.2243218
0.3326458,0.5988595,0.8244828,0.9702682,-0.38059855,0.026144117,-0.21057814,-0.419247,-0.28077644,-0.5778508,0.1726076,-0.51096874,0.3922566,0.9068793,-0.17053612,0.2636367
0.4478109,0.5947593,0.69186515,0.91677713,-0.61384696,-0.15839343,-0.4321875,-0.6518003,-0.4084269,-0.76103175,0.108805425,-0.41348025,0.14513263,0.7274969,0.098820835,0.3281333
0.44995272,0.48656872,0.39190614,0.71515393,-0.7768137,-0.27945438,-0.6504491,-0.7853552,-0.5030841,-0.83366984,-0.054402042,-0.31346494,-0.098913655,0.46319604,0.3493931,0.41055366
0.39205998,0.3771867,0.019565793,0.4480605,-0.88431466,-0.34866455,-0.8758617,-0.82511985,-0.56192994,-0.7947665,-0.28946003,-0.23496838,-0.29024678,0.20835811,0.5536947,0.50043637
0.3566984,0.38114905,-0.3042723,0.21073155,-0.96430343,-0.38700122,-1.1151806,-0.7972967,-0.58895606,-0.66380316,-0.5534926,-0.20210816,-0.38730508,0.06501662,0.71404,0.5916614
0.4275704,0.5798776,-0.46950102,0.0792544,-1.0276958,-0.41044405,-1.3499397,-0.7218722,-0.586492,-0.46874768,-0.7949773,-0.23182826,-0.3723195,0.09145114,0.85484713,0.6827509
0.65064657,0.9785416,-0.41394156,0.08481107,-1.0498352,-0.42283383,-1.5278217,-0.5974289,-0.5499112,-0.24002413,-0.95782244,-0.3225943,-0.2593173,0.26486582,0.99666625,0.76713157
1.001283,1.4852247,-0.14931305,0.20240316,-0.9835032,-0.42155868,-1.5800059,-0.4104335,-0.47324544,-0.014032426,-0.9856781,-0.44336736,-0.089070484,0.4865502,1.1275202,0.8204982
1.3782388,1.930486,0.23569928,0.35892743,-0.79846233,-0.41236147,-1.4569252,-0.1628329,-0.36256817,0.16133222,-0.8329683,-0.5329221,0.08685729,0.6326111,1.1946936,0.7978554
1.636195,2.1285448,0.6028792,0.46113315,-0.5183848,-0.4214718,-1.159048,0.10386649,-0.24465334,0.23123561,-0.4848145,-0.51778555,0.22380331,0.6210861,1.1300195,0.6485941
1.647297,1.9570998,0.8178837,0.43642116,-0.22398435,-0.49195758,-0.74190557,0.3109263,-0.15977323,0.15362705,0.023000274,-0.3452943,0.2941338,0.45296705,0.89689314,0.34590203
1.3628409,1.4176487,0.8084038,0.26978278,-0.014570719,-0.6603218,-0.29233843,0.37680167,-0.13938354,-0.074658625,0.6005927,-0.014235943,0.2868515,0.20192036,0.5267604,-0.08559219
0.84270984,0.6445006,0.5970637,0.016397249,0.04877142,-0.92547536,0.1087153,0.26423246,-0.18290645,-0.4039273,1.1283454,0.41828772,0.20044768,-0.03798796,0.11599488,-0.56400335
0.23583402,-0.14422652,0.28919664,-0.22080149,-0.019297447,-1.2329704,0.41515788,0.0076002697,-0.2518283,-0.7444673,1.5033094,0.86280143,0.035204243,-0.21118693,-0.21933316,-0.97688764
-0.27992144,-0.7317821,0.021180943,-0.33926952,-0.1349869,-1.4908673,0.6226457,-0.2998493,-0.28890285,-1.0038517,1.6850964,1.2434875,-0.21011187,-0.32981217,-0.40384278,-1.2315942
-0.57003796,-0.9860182,-0.1023718,-0.2856328,-0.19122116,-1.6118509,0.7548058,-0.5510745,-0.25165537,-1.1279297,1.7146723,1.535785,-0.53466207,-0.45822042,-0.44118416,-1.3023024
-0.5946949,-0.90505326,-0.051215094,-0.08062054,-0.11356079,-1.5562265,0.8412232,-0.67370105,-0.13732456,-1.1200781,1.6919191,1.7699928,-0.9254755,-0.6651195,-0.4077511,-1.2439213
-0.41777584,-0.607612,0.12376206,0.18942684,0.1055437,-1.3487211,0.90020156,-0.6545333,0.0180166,-1.0274583,1.7205848,1.9972641,-1.3454076,-0.97291243,-0.40698862,-1.160846
-0.17305209,-0.27490178,0.31583855,0.40745404,0.4085836,-1.0596561,0.9320037,-0.5314875,0.16395786,-0.90533733,1.849531,2.2408378,-1.7277023,-1.3336818,-0.51252013,-1.1473907
-0.0059478963,-0.0716864,0.40584326,0.47122204,0.70344913,-0.76413,0.9216051,-0.36335754,0.26492056,-0.78340274,2.0435593,2.4663777,-1.9860306,-1.6455938,-0.73292506,-1.2365242
-0.016877333,-0.08168488,0.30837148,0.33257106,0.9033928,-0.5052644,0.8485759,-0.19629227,0.31479838,-0.6528883,2.2001019,2.5914183,-2.0419683,-1.8009254,-1.0149369,-1.3886509
-0.22668248,-0.28276676,0.0065754573,0.01604217,0.9590924,-0.2823913,0.70190096,-0.043631326,0.33204064,-0.47700268,2.1996675,2.525686,-1.8596321,-1.7391434,-1.2764465,-1.524772
-0.5722984,-0.5665034,-0.43729895,-0.39140028,0.87364,-0.067266494,0.49450845,0.11300243,0.34444135,-0.21363379,1.9587646,2.2141519,-1.46806,-1.475599,-1.4443629,-1.5783826
-0.92967767,-0.78724754,-0.9021209,-0.7762816,0.69857943,0.1663149,0.26834962,0.30498025,0.37590042,0.16323352,1.458192,1.6578348,-0.95529956,-1.0911149,-1.4759722,-1.5304542
-1.1550568,-0.81817144,-1.2522347,-1.0435053,0.51367146,0.41992575,0.08321873,0.553291,0.4403674,0.6507758,0.74129313,0.9078666,-0.43480122,-0.69152015,-1.3598516,-1.4084616
-1.1329387,-0.5955514,-1.3861599,-1.1475757,0.3969288,0.6667579,-0.007409179,0.8545708,0.5405242,1.2134976,-0.10379413,0.046883307,-0.0029942498,-0.3632038,-1.1072384,-1.2587905
-0.81684965,-0.14034618,-1.2667111,-1.0953301,0.39518186,0.86406946,0.019685099,1.1820775,0.66718096,1.7858833,-0.96144956,-0.8258462,0.2882917,-0.14895402,-0.7461068,-1.1185988
-0.24824037,0.4478637,-0.92053485,-0.9230083,0.50665563,0.9705382,0.14774904,1.496195,0.79885125,2.2810097,-1.7012208,-1.6013651,0.4337522,-0.05027424,-0.32076824,-1.0065151
0.45567974,1.0236232,-0.4133819,-0.6660308,0.68322194,0.9591773,0.3295559,1.7552918,0.9043581,2.606954,-2.1941113,-2.1693108,0.45894843,-0.043726366,0.10945576,-0.93049747
1.1414814,1.4447526,0.1794382,-0.34271103,0.85161465,0.82406497,0.509526,1.9230019,0.95101213,2.6912355,-2.3413794,-2.4388258,0.4037438,-0.094555035,0.47972545,-0.89608306
1.6688218,1.6180766,0.78915924,0.038568836,0.9438478,0.5838774,0.6456087,1.9742712,0.91715044,2.5073543,-2.112436,-2.3715582,0.3145069,-0.16131206,0.73722625,-0.90191245
1.947601,1.521734,1.3523798,0.4576909,0.92257065,0.28309968,0.72016615,1.9021297,0.8035488,2.091335,-1.5733314,-2.0099535,0.2414408,-0.197713,0.85838515,-0.9264359
1.9508525,1.1977788,1.8050795,0.86794376,0.7901951,-0.013396497,0.737177,1.7217236,0.6366396,1.5365784,-0.8828371,-1.4779274,0.23132935,-0.16042536,0.85557246,-0.9226586
1.7075591,0.72714764,2.088615,1.2052128,0.5797168,-0.23717651,0.71129864,1.4661996,0.45947728,0.9646933,-0.24636166,-0.943366,0.31208277,-0.023468575,0.76916516,-0.8338321
1.2887082,0.20602213,2.1719606,1.4190736,0.33469412,-0.3413958,0.65732616,1.1745034,0.31329906,0.48363495,0.15718502,-0.5562599,0.47683385,0.20918511,0.6497891,-0.62528473
0.795337,-0.26737848,2.0754285,1.5035572,0.09019199,-0.32122907,0.5853658,0.8783195,0.21937469,0.15308478,0.24075839,-0.3944382,0.68059146,0.5022613,0.5406762,-0.3117867
0.3460503,-0.6016784,1.8735515,1.5023552,-0.13643548,-0.21560733,0.50118417,0.5959158,0.17190345,-0.026488058,0.033336803,-0.44543427,0.85599613,0.80084896,0.46826378,0.040313814
