AAL3_20,AAL3_21,AAL3_22,AAL3_23,AAL3_40,AAL3_41,AAL3_42,AAL3_43,AAL3_44,AAL3_45,AAL3_70,AAL3_71,AAL3_72,AAL3_73,AAL3_90,AAL3_91
-2.2740264,-1.518583,-1.4185052,-1.1472064,-0.52619237,-1.6307045,-1.2949059,-2.4013734,-1.5201033,0.17815559,0.65245366,0.910428,0.2538818,0.67976654,0.5417687,-1.8763037
-2.0947633,-1.3968712,-1.428426,-1.0650644,-0.43353897,-1.4801171,-1.0811838,-2.1508627,-1.2486669,0.15458125,0.7371701,1.0499333,0.20348437,0.6837709,0.69931954,-1.5164378
-1.8623105,-1.2260413,-1.4108242,-0.948904,-0.342073,-1.2988573,-0.83938617,-1.8416699,-0.9558465,0.14277308,0.801347,1.1826949,0.15260144,0.65929717,0.84456086,-1.1116992
-1.5795215,-1.006048,-1.3576437,-0.7970852,-0.2523215,-1.0887874,-0.5733248,-1.474039,-0.65462554,0.14952475,0.8307961,1.2943107,0.10343791,0.6048483,0.95509064,-0.68278277
-1.2580626,-0.7471515,-1.2617424,-0.6124553,-0.16408257,-0.8520767,-0.28850204,-1.0546888,-0.35808113,0.18195896,0.8108612,1.3646423,0.05825291,0.52469677,1.0139279,-0.2608252
-0.9179757,-0.47099003,-1.118319,-0.40292063,-0.077097274,-0.5897768,0.007937257,-0.597497,-0.074579634,0.24413386,0.729067,1.3681196,0.01713349,0.4282249,1.0191406,0.11896765
-0.5833602,-0.20622467,-0.9262981,-0.18054727,0.0072818957,-0.30336908,0.3060529,-0.123225294,0.19449513,0.33292052,0.5782326,1.2775257,-0.024344007,0.32589772,0.9870647,0.42777133
-0.27545068,0.020762708,-0.68962896,0.040474296,0.08453928,-0.0004302046,0.5914121,0.34121707,0.45199358,0.4364546,0.3600076,1.073004,-0.07450195,0.2242892,0.9436507,0.65188843
-0.0068517546,0.1952745,-0.41862902,0.24604964,0.14745575,0.2994193,0.84488314,0.76419693,0.6990735,0.53808707,0.08847707,0.7544171,-0.13982299,0.12455878,0.90837437,0.79384935
0.21977875,0.3180975,-0.13098596,0.4239826,0.18913966,0.56513095,1.0449737,1.1128355,0.9309061,0.62437576,-0.2082823,0.34998524,-0.21683183,0.025902083,0.88337064,0.8658528
0.40890935,0.4023191,0.14902765,0.5654894,0.20652527,0.76389605,1.1712161,1.3592114,1.1366321,0.6908067,-0.49227878,-0.087213755,-0.28906667,-0.070034474,0.8560976,0.8816725
0.56872094,0.46687517,0.39473137,0.66650665,0.2014676,0.8739697,1.2068639,1.4872481,1.3021221,0.73944366,-0.726776,-0.49696675,-0.33467606,-0.15916863,0.81073344,0.8527326
0.71017843,0.5311887,0.5843512,0.7280906,0.17918794,0.8917812,1.1421937,1.4967275,1.4136319,0.7694879,-0.8903117,-0.83548343,-0.34129232,-0.23971212,0.7365726,0.7883324
0.84805125,0.61182463,0.7083728,0.7549576,0.14708498,0.8304278,0.98132527,1.4029728,1.4627339,0.7687674,-0.9851322,-1.0907238,-0.31705996,-0.31609085,0.6277589,0.69600654
1.0001242,0.7191731,0.77264786,0.75219566,0.11682555,0.71457213,0.7515705,1.2341893,1.4527669,0.714698,-1.0338125,-1.2801936,-0.28835502,-0.39685324,0.4794303,0.57965964
1.181071,0.8527237,0.7949325,0.7216331,0.10868301,0.5777899,0.5079766,1.0289513,1.4034599,0.5866062,-1.0652196,-1.4334666,-0.2850269,-0.4875779,0.28862384,0.43774602
1.3913414,0.9962465,0.79631096,0.66000694,0.15300977,0.4620745,0.32448974,0.8331471,1.3481658,0.3829697,-1.0974948,-1.5707221,-0.32338542,-0.5851518,0.061591495,0.26592845
1.6065881,1.1163999,0.79174805,0.56047255,0.28358206,0.41333863,0.2702879,0.69295156,1.3213423,0.13291734,-1.1269635,-1.6892561,-0.39744303,-0.67871517,-0.17946887,0.065537706
1.7762707,1.1686264,0.78433776,0.41757002,0.52207977,0.4682543,0.38018045,0.6421866,1.340561,-0.10681064,-1.1284803,-1.7640772,-0.48141405,-0.75626326,-0.39875376,-0.14700243
1.8379074,1.1121981,0.76612586,0.23405732,0.85944915,0.63547045,0.63337296,0.6877089,1.3920285,-0.27143744,-1.0674324,-1.761368,-0.53920203,-0.81051886,-0.559933,-0.33829895
1.7449968,0.93134606,0.72556204,0.026530221,1.2443881,0.88111544,0.95187634,0.8003303,1.4281527,-0.31696817,-0.9180716,-1.6577419,-0.5349832,-0.8381173,-0.6432544,-0.4690689
1.4957001,0.652878,0.6582888,-0.17365444,1.588441,1.1289359,1.2212272,0.9177461,1.3806126,-0.24358688,-0.67860246,-1.4551048,-0.44139692,-0.83198965,-0.65714645,-0.5145963
1.1442232,0.34769958,0.5754802,-0.32598597,1.7902343,1.2793285,1.3269306,0.9610694,1.1851746,-0.099275626,-0.3738771,-1.1827008,-0.2440369,-0.7733642,-0.63850176,-0.48242673
0.7839979,0.109484166,0.50447655,-0.39141214,1.7709304,1.2424736,1.193574,0.86108404,0.808201,0.040375464,-0.04378268,-0.8855379,0.058090817,-0.6319825,-0.6415735,-0.41415474
0.50860363,0.017129632,0.4806419,-0.34355292,1.5052493,0.9728767,0.8118759,0.58600324,0.26289773,0.105551995,0.27454403,-0.6074723,0.45480558,-0.37892902,-0.71937543,-0.36686105
0.3711836,0.09945678,0.5344105,-0.17606062,1.0331789,0.4895753,0.243165,0.15972969,-0.39207873,0.0599689,0.55820954,-0.37995732,0.9260898,-0.0081170825,-0.90360653,-0.38294175
0.36446828,0.3212554,0.67941284,0.09555101,0.44704452,-0.12902471,-0.40027463,-0.33994213,-1.0702158,-0.09111486,0.7972597,-0.2209829,1.4394714,0.44498268,-1.1904442,-0.46556637
0.430477,0.59804523,0.90549594,0.4363101,-0.13927557,-0.7746741,-0.9910252,-0.8071978,-1.6822346,-0.3130409,0.98511165,-0.13934165,1.9454538,0.90027815,-1.5387509,-0.5745001
0.4916351,0.83106905,1.1774592,0.7965643,-0.6251274,-1.3488034,-1.4250453,-1.149869,-2.1585348,-0.5624332,1.1112232,-0.13630377,2.3783875,1.252201,-1.8825018,-0.6450745
0.48537204,0.944526,1.4395036,1.1189173,-0.94889534,-1.7919614,-1.6495414,-1.3272755,-2.462312,-0.8024603,1.162697,-0.20219088,2.669181,1.4060282,-2.1522586,-0.61986274
0.3864701,0.9085531,1.6260343,1.3482258,-1.0978751,-2.0897694,-1.6713994,-1.3634893,-2.591061,-1.0059736,1.1326783,-0.31261742,2.7674603,1.3156873,-2.296108,-0.47661138
0.21085843,0.74098,1.678489,1.4440844,-1.101715,-2.2567322,-1.5443581,-1.3277111,-2.567448,-1.150069,1.0277748,-0.43090498,2.6610844,1.004127,-2.2918193,-0.23988773
0.0037676357,0.49168527,1.564282,1.3921796,-1.0137076,-2.3116698,-1.3409787,-1.2925159,-2.42352,-1.2115558,0.86806655,-0.51848054,2.3795025,0.55472404,-2.147551,0.026527558
-0.18002763,0.21986572,1.2906537,1.2093123,-0.8874759,-2.2608063,-1.1218858,-1.2937437,-2.1855416,-1.1709859,0.6792176,-0.5488141,1.9771186,0.07719587,-1.8941544,0.24116571
-0.29580238,-0.025348414,0.90668356,0.9387505,-0.75829726,-2.0970953,-0.9163641,-1.3141682,-1.8679272,-1.0251051,0.48190847,-0.5174706,1.5068471,-0.3345884,-1.5747252,0.33194706
-0.32249036,-0.21515176,0.49139148,0.6369385,-0.63683635,-1.8136436,-0.7230008,-1.298403,-1.48051,-0.79925513,0.28569636,-0.44250345,1.001405,-0.6319071,-1.23573,0.2614676
-0.26745242,-0.34204748,0.1316981,0.3566494,-0.5171151,-1.4216067,-0.52822685,-1.1885868,-1.0441457,-0.548298,0.091355056,-0.35442954,0.47422057,-0.81587917,-0.9202505,0.04427017
-0.16202354,-0.4146368,-0.10220281,0.13305268,-0.39234993,-0.96105725,-0.33004692,-0.9597918,-0.6018152,-0.34006563,-0.10046997,-0.28096098,-0.06288375,-0.92108643,-0.6610542,-0.25041223
-0.049362943,-0.4494697,-0.17599197,-0.022480303,-0.26726434,-0.49667063,-0.1506964,-0.63574827,-0.21347396,-0.22662497,-0.2815193,-0.23531681,-0.58051705,-0.99190485,-0.4725443,-0.5155088
0.031757534,-0.46246248,-0.09890068,-0.11948644,-0.1580166,-0.097285524,-0.028571619,-0.27714977,0.06604945,-0.21819364,-0.43595803,-0.2152697,-1.0269477,-1.0646603,-0.3455109,-0.64069545
0.061108354,-0.4626995,0.08234861,-0.1787269,-0.07978182,0.192677,0.006831344,0.05024296,0.21373372,-0.27477935,-0.54891276,-0.21297698,-1.3425461,-1.1604286,-0.25135088,-0.5523665
0.042064235,-0.45190573,0.30100337,-0.22044674,-0.031032234,0.37543204,-0.038574215,0.30974483,0.2525297,-0.32068202,-0.61689484,-0.2274986,-1.4845018,-1.2853563,-0.15785205,-0.24068895
-0.0060676187,-0.43076214,0.49264643,-0.25562826,0.013621225,0.5017765,-0.11351855,0.5108517,0.2431791,-0.27406886,-0.65106916,-0.26906043,-1.4464115,-1.4330554,-0.049013186,0.23936501
-0.064405076,-0.4080158,0.6141138,-0.28327182,0.09508588,0.64796746,-0.13740118,0.69882256,0.25734568,-0.07698932,-0.66922104,-0.34972116,-1.2615547,-1.5863068,0.0642715,0.7919243
-0.12843932,-0.40403548,0.6522771,-0.29348755,0.24813607,0.87613887,-0.03733194,0.921034,0.34586817,0.28622687,-0.68113244,-0.46596104,-0.9893246,-1.7190899,0.1510413,1.3146182
-0.20882177,-0.44252545,0.6206138,-0.27364013,0.47671518,1.1970723,0.21085961,1.1880109,0.51707107,0.78616905,-0.6782802,-0.58703476,-0.6937166,-1.8015143,0.18100268,1.7257104
-0.31767467,-0.53308827,0.5469032,-0.2142461,0.7396491,1.5552645,0.5587921,1.4523187,0.733457,1.3579092,-0.63725245,-0.66165894,-0.42540926,-1.8084718,0.14582923,1.9743335
-0.45078838,-0.656397,0.45898977,-0.11248751,0.9569827,1.8468764,0.8941779,1.6210539,0.9262707,1.9169861,-0.53733045,-0.6439181,-0.21441326,-1.7291149,0.067008905,2.0366926
-0.5798662,-0.76431316,0.37545344,0.02709752,1.0379236,1.9647776,1.0825942,1.5990797,1.0210503,2.377171,-0.38204452,-0.52440757,-0.07279223,-1.571764,-0.015309805,1.9085091
-0.6613864,-0.7977714,0.3042448,0.193876,0.9195473,1.8493925,1.0249572,1.3401629,0.9647122,2.6677277,-0.20976003,-0.34570256,-0.0017860006,-1.3605703,-0.06537526,1.6019295
-0.65656865,-0.71328807,0.24722444,0.37293378,0.5975981,1.5190645,0.7021778,0.87595403,0.7451918,2.748484,-0.08359474,-0.1888277,0.002830812,-1.1257273,-0.070533,1.1474425
-0.5505284,-0.5040572,0.20542075,0.54641867,0.13314198,1.0640908,0.18376757,0.30562165,0.39748356,2.6195767,-0.06350001,-0.1354155,-0.049741954,-0.8936047,-0.041129652,0.5956389
-0.36149353,-0.20622236,0.18050015,0.6943732,-0.36857733,0.6090031,-0.40250534,-0.24625483,-0.0054069846,2.3217933,-0.1750027,-0.22620879,-0.14193523,-0.68239766,0.008930221,0.013953009
-0.13790146,0.110502034,0.17155817,0.79588294,-0.7958082,0.2646159,-0.9212728,-0.6775228,-0.3729347,1.9256753,-0.39198396,-0.43923512,-0.24455625,-0.5035236,0.0851244,-0.5224327
0.05421362,0.36281562,0.17031807,0.83146715,-1.0658156,0.09384332,-1.2740855,-0.9367615,-0.62172925,1.5123274,-0.64319956,-0.69900197,-0.31840938,-0.36449185,0.21805428,-0.94332373
0.15006639,0.477902,0.15959029,0.7869406,-1.1436743,0.10335455,-1.4203992,-1.0234993,-0.69695115,1.1526405,-0.839412,-0.9101936,-0.3233404,-0.26939076,0.44351515,-1.1973474
0.10700349,0.41536555,0.11807512,0.6579172,-1.0410275,0.25680837,-1.3739265,-0.96994483,-0.5850066,0.8918079,-0.9079825,-0.9970786,-0.23285134,-0.21703112,0.7685578,-1.2646192
-0.07883892,0.180958,0.030141642,0.4533034,-0.8018041,0.49584246,-1.1846159,-0.82081866,-0.3156367,0.7431601,-0.81944185,-0.92941815,-0.04803999,-0.1995592,1.1473994,-1.1649343
-0.36734623,-0.17293487,-0.10478896,0.19606288,-0.48538506,0.7566138,-0.9180316,-0.62178206,0.045998607,0.6915041,-0.5956777,-0.7254669,0.19692871,-0.20363694,1.4861903,-0.95688415
-0.684685,-0.56134063,-0.26889962,-0.07960768,-0.15420456,0.9786267,-0.6389073,-0.41566265,0.41505718,0.7027617,-0.29835185,-0.4357385,0.44266498,-0.2138411,1.6776057,-0.72429794
-0.946165,-0.8909622,-0.43055207,-0.33427477,0.13357131,1.1107352,-0.40018186,-0.23912162,0.707142,0.7349851,-0.0045861476,-0.119915724,0.6241269,-0.21663757,1.6475551,-0.55072325
-1.0828351,-1.0860866,-0.55408317,-0.5311003,0.32976702,1.1201539,-0.23643506,-0.11519454,0.85817146,0.74705166,0.21884042,0.17074865,0.69394046,-0.2036653,1.3888981,-0.48906803
-1.0615575,-1.1072946,-0.61029613,-0.6438428,0.40313306,1.0038264,-0.16110438,-0.0454776,0.83894986,0.7049584,0.33317882,0.4006951,0.6390608,-0.17356622,0.96478486,-0.539156
-0.8917467,-0.9576212,-0.58442104,-0.6631573,0.3461194,0.7939607,-0.16807239,-0.010854629,0.6606254,0.588123,0.33345836,0.55079615,0.48352838,-0.13148259,0.48136634,-0.6465762
-0.61763453,-0.67586976,-0.4803394,-0.59909815,0.176591,0.54897904,-0.23824157,0.014595821,0.36963364,0.3960885,0.24412599,0.61912626,0.27690208,-0.08571215,0.04518794,-0.7281513
-0.300188,-0.3211551,-0.32062212,-0.47825313,-0.069284186,0.32991016,-0.3498005,0.042995438,0.033289958,0.15119624,0.10846432,0.6233149,0.07441762,-0.042708103,-0.274088,-0.71430606
0.0038556799,0.044900622,-0.14187463,-0.33587307,-0.35092956,0.17387255,-0.48796108,0.060023617,-0.28037855,-0.10866574,-0.025398148,0.59892803,-0.08229308,-0.0033706233,-0.46096143,-0.586112
0.25775275,0.3721508,0.014370524,-0.20597285,-0.63627833,0.08060528,-0.64861745,0.0317376,-0.5226552,-0.34724668,-0.119791664,0.5874333,-0.17665477,0.036647033,-0.5482412,-0.3856374
0.44971585,0.62848264,0.112963006,-0.11368649,-0.9060105,0.020402927,-0.8331151,-0.07113352,-0.6769392,-0.54795563,-0.16030411,0.6152774,-0.21770334,0.08237534,-0.5948154,-0.19368951
0.5863472,0.79891723,0.13452503,-0.07283643,-1.1479282,-0.04228104,-1.0373747,-0.24706773,-0.7589953,-0.7203276,-0.16017671,0.675947,-0.23103744,0.13343439,-0.6582149,-0.08822536
0.6789573,0.87997615,0.078933805,-0.08843639,-1.3477192,-0.12516822,-1.2432599,-0.45436066,-0.8041366,-0.8894942,-0.1519331,0.7295189,-0.24446635,0.18057433,-0.7722948,-0.10631587
0.73005843,0.8729211,-0.038504787,-0.16104153,-1.4841307,-0.2186377,-1.4186106,-0.62632376,-0.84655637,-1.0751342,-0.16797028,0.72489685,-0.27390432,0.20801994,-0.9362959,-0.22791685
0.7266683,0.77875787,-0.19611308,-0.28958097,-1.5316671,-0.2938146,-1.5254868,-0.7022425,-0.8996152,-1.273378,-0.21872817,0.6345664,-0.31465453,0.20156175,-1.1164063,-0.38635585
0.6435635,0.5966268,-0.37593767,-0.47160274,-1.4675763,-0.32024944,-1.5301814,-0.6550963,-0.9456652,-1.4523652,-0.2796425,0.4815339,-0.34134048,0.15825254,-1.256783,-0.4974519
0.45512387,0.32601437,-0.5709407,-0.70252997,-1.2779621,-0.28108227,-1.4092332,-0.50085366,-0.9401897,-1.5631577,-0.2944423,0.34081036,-0.31680045,0.09122028,-1.2954373,-0.49267736
0.15057436,-0.027972309,-0.78704154,-0.9759596,-0.9611341,-0.17841959,-1.1518346,-0.28801316,-0.82929647,-1.5595744,-0.19479841,0.31185752,-0.20708287,0.025043717,-1.1813246,-0.34293175
-0.25438228,-0.44831145,-1.0393684,-1.284739,-0.5304094,-0.030163363,-0.7636512,-0.07805199,-0.57429224,-1.4175621,0.071088985,0.4748325,0.0027563118,-0.016793275,-0.8901396,-0.06575873
-0.7151809,-0.9015608,-1.3430781,-1.6199648,-0.018805642,0.13530305,-0.27461678,0.07128513,-0.17419092,-1.1468403,0.5125038,0.8523061,0.2981352,-0.024647815,-0.4357786,0.28363594
-1.1663555,-1.3374534,-1.700365,-1.965442,0.5161094,0.28167984,0.25417528,0.1155258,0.3226434,-0.79211533,1.0837576,1.394746,0.6342445,-0.0068620117,0.12673439,0.6313489
-1.5358437,-1.6935674,-2.087719,-2.289368,0.9935257,0.36565423,0.73403597,0.028774265,0.8234901,-0.42498195,1.6909606,1.9952757,0.9460504,0.017740395,0.7100434,0.90500295
-1.7599152,-1.9050902,-2.4502168,-2.5399678,1.3231343,0.34208128,1.0684702,-0.19165349,1.213771,-0.12863758,2.2158492,2.5248902,1.1656626,0.033510715,1.2142696,1.048335
-1.7956861,-1.9192544,-2.7096639,-2.6525562,1.4311905,0.1781502,1.1845466,-0.5219032,1.391879,0.023271617,2.5476081,2.8712742,1.241123,0.03781557,1.5526189,1.0286008
-1.6312904,-1.7123662,-2.7879894,-2.5696146,1.2893881,-0.12658216,1.0616432,-0.91334164,1.3052396,-0.008759559,2.6111572,2.9659035,1.1507707,0.040413193,1.6746283,0.84002686
-1.2927411,-1.3036264,-2.6377945,-2.2660716,0.93136936,-0.52641827,0.74169755,-1.3021147,0.9733472,-0.20963153,2.3832576,2.7926788,0.9093426,0.054083336,1.5781901,0.5060947
-0.842653,-0.75721836,-2.2649026,-1.7662973,0.44529128,-0.93559134,0.3133365,-1.6251967,0.48619607,-0.5055742,1.8939941,2.3810413,0.5643105,0.08469509,1.3042796,0.07848717
-0.36583033,-0.16726285,-1.7301003,-1.142705,-0.05649956,-1.2569466,-0.123369835,-1.8373414,-0.02376753,-0.7849281,1.2170006,1.7921112,0.18320668,0.1283262,0.9161571,-0.37221625
0.056276456,0.3703796,-1.1289835,-0.49636066,-0.47561842,-1.4189848,-0.49267927,-1.9211714,-0.42487234,-0.93818,0.45417953,1.105681,-0.1646726,0.17644837,0.47482663,-0.7744058
0.37119922,0.7863799,-0.5614991,0.07032738,-0.7536626,-1.3983246,-0.75976205,-1.8846813,-0.6248234,-0.8975732,-0.28101426,0.41063184,-0.42616472,0.2235402,0.026028782,-1.0739355
0.5677858,1.0522949,-0.106528744,0.47685972,-0.8750697,-1.2141718,-0.9215847,-1.7472587,-0.5885213,-0.6558888,-0.8809426,-0.20417753,-0.5750971,0.27021685,-0.39497024,-1.2426178
0.66927856,1.1757522,0.19016564,0.6774669,-0.8520282,-0.9029204,-0.98427457,-1.5234395,-0.33344403,-0.25862578,-1.2621802,-0.6627918,-0.6125876,0.3194421,-0.7502357,-1.2733606
0.7128358,1.1831275,0.3167589,0.66421956,-0.7072755,-0.49631417,-0.9481259,-1.216728,0.085394576,0.21889593,-1.3828131,-0.91886735,-0.5588595,0.36947447,-0.99511236,-1.1700386
0.7286811,1.1028231,0.2917796,0.46416274,-0.4677036,-0.022154039,-0.8123545,-0.8300836,0.588053,0.692619,-1.2528721,-0.96991265,-0.44254687,0.41027355,-1.0926404,-0.94485164
0.73066986,0.9591262,0.15964624,0.13271882,-0.16917154,0.4743022,-0.5924745,-0.38765836,1.0783107,1.0811119,-0.9315968,-0.85982096,-0.29245275,0.42817616,-1.0384146,-0.62786895
0.7211798,0.77677584,-0.016899787,-0.2568602,0.13791516,0.9105622,-0.33136788,0.048262708,1.4568181,1.3122392,-0.50961876,-0.6643765,-0.13225636,0.4177549,-0.87657803,-0.2784547
0.70287263,0.5873061,-0.17082714,-0.6282392,0.393287,1.1743942,-0.09114651,0.3821775,1.6443344,1.3348919,-0.08119393,-0.46337423,0.024150658,0.3932513,-0.6918845,0.01959713
