b'7Networks_LH_Default_Temp_1',b'7Networks_LH_Default_Temp_2',b'7Networks_LH_Default_Temp_3',b'7Networks_LH_Default_Temp_4',b'7Networks_LH_Default_Temp_5',b'7Networks_LH_Default_Temp_6',b'7Networks_LH_Default_Temp_7',b'7Networks_LH_Default_Temp_8',b'7Networks_LH_Default_Temp_9',b'7Networks_LH_Default_Temp_10',b'7Networks_LH_Default_Par_1',b'7Networks_LH_Default_Par_2',b'7Networks_LH_Default_Par_3',b'7Networks_LH_Default_Par_4',b'7Networks_LH_Default_Par_5',b'7Networks_LH_Default_Par_6',b'7Networks_LH_Default_Par_7',b'7Networks_LH_Default_PFC_1',b'7Networks_LH_Default_PFC_2',b'7Networks_LH_Default_PFC_3',b'7Networks_LH_Default_PFC_4',b'7Networks_LH_Default_PFC_5',b'7Networks_LH_Default_PFC_6',b'7Networks_LH_Default_PFC_7',b'7Networks_LH_Default_PFC_8',b'7Networks_LH_Default_PFC_9',b'7Networks_LH_Default_PFC_10',b'7Networks_LH_Default_PFC_11',b'7Networks_LH_Default_PFC_12',b'7Networks_LH_Default_PFC_13',b'7Networks_LH_Default_PFC_14',b'7Networks_LH_Default_PFC_15',b'7Networks_LH_Default_PFC_16',b'7Networks_LH_Default_PFC_17',b'7Networks_LH_Default_PFC_18',b'7Networks_LH_Default_PFC_19',b'7Networks_LH_Default_PFC_20',b'7Networks_LH_Default_PFC_21',b'7Networks_LH_Default_PFC_22',b'7Networks_LH_Default_PFC_23',b'7Networks_LH_Default_PFC_24',b'7Networks_LH_Default_pCunPCC_1',b'7Networks_LH_Default_pCunPCC_2',b'7Networks_LH_Default_pCunPCC_3',b'7Networks_LH_Default_pCunPCC_4',b'7Networks_LH_Default_pCunPCC_5',b'7Networks_LH_Default_pCunPCC_6',b'7Networks_LH_Default_pCunPCC_7',b'7Networks_LH_Default_pCunPCC_8',b'7Networks_LH_Default_pCunPCC_9',b'7Networks_LH_Default_pCunPCC_10',b'7Networks_LH_Default_pCunPCC_11',b'7Networks_RH_Default_Par_1',b'7Networks_RH_Default_Par_2',b'7Networks_RH_Default_Par_3',b'7Networks_RH_Default_Par_4',b'7Networks_RH_Default_Par_5',b'7Networks_RH_Default_Temp_1',b'7Networks_RH_Default_Temp_2',b'7Networks_RH_Default_Temp_3',b'7Networks_RH_Default_Temp_4',b'7Networks_RH_Default_Temp_5',b'7Networks_RH_Default_Temp_6',b'7Networks_RH_Default_Temp_7',b'7Networks_RH_Default_Temp_8',b'7Networks_RH_Default_PFCv_1',b'7Networks_RH_Default_PFCv_2',b'7Networks_RH_Default_PFCv_3',b'7Networks_RH_Default_PFCv_4',b'7Networks_RH_Default_PFCdPFCm_1',b'7Networks_RH_Default_PFCdPFCm_2',b'7Networks_RH_Default_PFCdPFCm_3',b'7Networks_RH_Default_PFCdPFCm_4',b'7Networks_RH_Default_PFCdPFCm_5',b'7Networks_RH_Default_PFCdPFCm_6',b'7Networks_RH_Default_PFCdPFCm_7',b'7Networks_RH_Default_PFCdPFCm_8',b'7Networks_RH_Default_PFCdPFCm_9',b'7Networks_RH_Default_PFCdPFCm_10',b'7Networks_RH_Default_PFCdPFCm_11',b'7Networks_RH_Default_PFCdPFCm_12',b'7Networks_RH_Default_PFCdPFCm_13',b'7Networks_RH_Default_pCunPCC_1',b'7Networks_RH_Default_pCunPCC_2',b'7Networks_RH_Default_pCunPCC_3',b'7Networks_RH_Default_pCunPCC_4',b'7Networks_RH_Default_pCunPCC_5',b'7Networks_RH_Default_pCunPCC_6',b'7Networks_RH_Default_pCunPCC_7',b'7Networks_RH_Default_pCunPCC_8',b'7Networks_RH_Default_pCunPCC_9'
-0.17011006,-0.43675,0.23626563,-1.3129535,0.5876568,-1.2907994,0.09583658,-0.18260156,0.6276645,-0.85395294,0.046377998,-1.4975545,-0.38515496,-0.67286366,-0.6188164,-0.15818508,-0.49852178,-0.64670134,0.0025022465,-0.064615235,-0.19044031,-0.16425501,0.33693925,-0.28538978,-1.864898,-0.45614225,0.37667745,-1.6369188,-0.15435642,-0.6520416,-1.2914695,-0.61110425,-0.6363924,-0.78036547,-0.4408606,-0.42300785,0.44337133,-0.006448335,-0.027417092,-0.087359175,0.08679227,-0.43070826,-1.215058,-0.49410605,-0.19472611,-1.4458411,-1.4707953,-0.097546756,0.3369315,-0.37739295,-1.1005462,-1.1926796,-0.802288,-0.5493442,-2.1376848,-0.98272705,-0.41127285,0.36985198,-0.06680306,0.8744357,-0.32993338,0.31286356,0.18831941,-1.7353656,-0.69183606,0.41949683,1.1889615,0.4188423,0.68078136,-0.18240291,-0.9904305,0.2611301,-0.79261714,-1.1814309,0.3563819,-1.7010474,-1.2852525,0.53287387,0.6194324,-0.18295623,1.4077152,-2.1776738,-0.7649602,0.017787589,-1.321899,-0.7884277,-1.3459285,0.59902215,-0.90811735,-1.5282736,-0.15955944
-0.10518949,-0.4414566,0.1444653,-1.0612401,0.6616859,-1.1407977,0.1903645,-0.11548902,0.656051,-0.4112777,0.3095161,-1.2713537,-0.5355938,-0.68376887,-0.2166988,-0.37608537,-0.38942438,-0.57295597,0.075255215,-0.1832588,-0.18472159,-0.07235192,0.17355673,-0.13919997,-1.8102794,-0.47755632,0.319248,-1.638381,-0.15924472,-0.8110058,-1.1274462,-0.45855144,-0.78778726,-0.8767315,-0.39157206,-0.5495555,0.062355697,-0.12186503,-0.12847313,-0.015669549,-0.039893776,-0.66341573,-1.3970181,-0.7785351,-0.43268877,-1.3430132,-1.5240259,-0.44830477,0.14232166,-0.15644778,-1.1497321,-1.1467824,-0.36266232,-0.5478529,-1.7153938,-0.3703007,-0.5477002,0.389533,-0.03825434,0.9480893,-0.043159664,0.4232584,0.49036205,-1.1428877,-0.33688167,0.42715216,1.103649,0.46936244,0.58040637,-0.26415333,-0.8228336,0.09644266,-0.79172516,-1.125622,0.40175685,-1.5716324,-1.094625,0.403667,0.3811048,-0.09662542,1.0584209,-1.8866831,-0.9126053,-0.13203476,-1.303063,-0.9551174,-1.2722211,0.4540434,-0.6284512,-1.4331956,-0.15542655
-0.027637701,-0.43628815,0.054996096,-0.7903698,0.73641473,-0.98490095,0.2694828,-0.03303231,0.66025186,-0.012474956,0.5241571,-1.0411932,-0.69130135,-0.6949497,0.15842918,-0.58323824,-0.28671944,-0.51015276,0.1381686,-0.2955256,-0.18356408,0.016707705,0.001702564,0.008996506,-1.7196369,-0.5033543,0.22037075,-1.6393596,-0.22765718,-0.97408426,-0.96170294,-0.33327454,-0.92499465,-0.9814268,-0.38227785,-0.6920578,-0.33902422,-0.23406821,-0.2457694,0.004217522,-0.17263605,-0.849597,-1.5172136,-1.0175519,-0.6829672,-1.2291843,-1.5474497,-0.799163,-0.043353777,0.061803356,-1.1929971,-1.0865568,0.09907893,-0.5413587,-1.253018,0.26976845,-0.6777603,0.41634306,-0.0044529974,0.999938,0.27282348,0.51505977,0.7865393,-0.52743804,0.025231952,0.42470747,0.9868317,0.5059693,0.46092615,-0.3504733,-0.635051,-0.07682741,-0.77819055,-1.0777681,0.42430606,-1.4257914,-0.8952741,0.23316476,0.11560481,-0.06416645,0.652808,-1.603029,-1.0117036,-0.28054035,-1.2356256,-1.0940719,-1.1950084,0.27085167,-0.32160535,-1.3229444,-0.14107816
0.07224795,-0.4091761,-0.017430183,-0.5075188,0.800619,-0.8204008,0.32781532,0.056487292,0.6354906,0.32024932,0.66749185,-0.8119222,-0.8293962,-0.69568175,0.47132015,-0.7554585,-0.2014513,-0.45426875,0.18897824,-0.38673818,-0.1872621,0.10055718,-0.17450242,0.15721506,-1.583744,-0.5247477,0.09355602,-1.6379392,-0.3745732,-1.1210979,-0.7905906,-0.24391037,-1.0251294,-1.073664,-0.4296458,-0.83423465,-0.71709603,-0.32984003,-0.36991796,-0.039985806,-0.29561895,-0.9701939,-1.5509995,-1.1830033,-0.93642735,-1.114538,-1.5230019,-1.1221801,-0.2090705,0.25636584,-1.224896,-1.0109303,0.5455097,-0.5234875,-0.77103174,0.88296264,-0.7789847,0.45568255,0.04194213,1.0181327,0.5983963,0.57398254,1.0461959,0.07183552,0.37345436,0.4140104,0.83988756,0.526631,0.3443262,-0.4312695,-0.43594486,-0.24173546,-0.73714775,-1.0325696,0.40686572,-1.2539777,-0.6909934,0.03656845,-0.1539786,-0.092931926,0.21649903,-1.3327471,-1.0372543,-0.42279685,-1.1130369,-1.1795439,-1.1107773,0.04828537,-0.011950878,-1.1927073,-0.12303815
0.20200177,-0.3431001,-0.055866197,-0.22167559,0.8380684,-0.6394721,0.35792717,0.13592729,0.5764198,0.57099897,0.72077584,-0.5833357,-0.9183954,-0.6686933,0.68712795,-0.8630998,-0.14300996,-0.39819565,0.22376043,-0.44082442,-0.19448136,0.17824225,-0.3475066,0.30302066,-1.3954229,-0.5292797,-0.034527734,-1.62937,-0.6009376,-1.2239405,-0.6090573,-0.19507693,-1.0627955,-1.1215544,-0.53805906,-0.95161504,-1.0115683,-0.39434865,-0.48404652,-0.15098366,-0.38906762,-1.0090929,-1.478492,-1.2467605,-1.1750746,-1.005517,-1.4287134,-1.3801583,-0.34381396,0.40239653,-1.235619,-0.9162274,0.9253543,-0.48311847,-0.2949508,1.4003844,-0.8207998,0.51023424,0.10831417,0.9918799,0.90166616,0.5885235,1.2320933,0.6062667,0.6790454,0.39817122,0.6683986,0.5313083,0.26336667,-0.4899354,-0.23397668,-0.37221837,-0.64845365,-0.9727228,0.3335271,-1.0434849,-0.48269668,-0.15823007,-0.39348218,-0.17211099,-0.20376876,-1.0757248,-0.96479654,-0.54837775,-0.9328253,-1.180129,-1.0064996,-0.20532726,0.2667687,-1.0303493,-0.10938351
0.36078554,-0.22049022,-0.045615304,0.056156565,0.830718,-0.42906848,0.35071117,0.18134177,0.47652972,0.7347535,0.67587334,-0.3470553,-0.9246485,-0.5921265,0.7834534,-0.8772292,-0.11431067,-0.3339056,0.23635434,-0.44636264,-0.20207994,0.25091648,-0.5067875,0.44303903,-1.1524267,-0.5034652,-0.1258879,-1.6032372,-0.885183,-1.2504386,-0.41099316,-0.1827009,-1.0175498,-1.0865064,-0.6913569,-1.0149604,-1.1564304,-0.41520882,-0.56536245,-0.31591994,-0.43422696,-0.95801806,-1.292152,-1.1878544,-1.3726075,-0.89925563,-1.2426295,-1.5330095,-0.4381683,0.4791558,-1.2101268,-0.7952466,1.1832345,-0.40619388,0.15119071,1.7545886,-0.76981795,0.57722557,0.19865365,0.9147743,1.1429464,0.5573867,1.31035,1.0291351,0.9120663,0.38103068,0.48301283,0.52276576,0.25550327,-0.5062083,-0.035730455,-0.43791884,-0.49128413,-0.86851895,0.19658415,-0.7806543,-0.2668699,-0.3129445,-0.56408983,-0.268413,-0.5458269,-0.8236588,-0.77821285,-0.6404426,-0.69811285,-1.0664753,-0.85789436,-0.46971253,0.47783113,-0.8176994,-0.10698306
0.5335416,-0.03128327,0.02056104,0.31180885,0.76494306,-0.1749005,0.29827085,0.16968842,0.32970652,0.81871945,0.5405476,-0.0875352,-0.8239001,-0.44556823,0.7616811,-0.7790993,-0.1079328,-0.25668,0.21922897,-0.40382165,-0.20556453,0.32153192,-0.63992274,0.57158715,-0.8600928,-0.4374888,-0.13950112,-1.5409762,-1.182267,-1.1725157,-0.1901029,-0.19134106,-0.8830107,-0.9335656,-0.8499322,-0.99666256,-1.099215,-0.38658804,-0.590268,-0.50434756,-0.42068473,-0.820556,-1.0025153,-1.0002617,-1.4993159,-0.78178316,-0.950318,-1.5494133,-0.4862708,0.4798232,-1.1297687,-0.63906956,1.276248,-0.28119865,0.55099154,1.9003937,-0.6005482,0.64608425,0.30927172,0.78689164,1.2846475,0.4955537,1.2629515,1.3114636,1.051865,0.3654415,0.2987163,0.5056466,0.3496577,-0.46287397,0.15410537,-0.41455117,-0.25280175,-0.68470955,0.0032179996,-0.45544177,-0.036665,-0.3860651,-0.6337874,-0.33148888,-0.74879336,-0.5616618,-0.4791539,-0.6780448,-0.41842067,-0.82336783,-0.6348616,-0.7151991,0.5915517,-0.538896,-0.1181644
0.6897282,0.21838586,0.13879931,0.52666366,0.6384891,0.1302147,0.19965418,0.09032036,0.13567062,0.84002244,0.33939895,0.21040717,-0.61346346,-0.21923415,0.64986926,-0.56932294,-0.10639897,-0.16925707,0.1664482,-0.3291813,-0.19990312,0.3930602,-0.73287225,0.6785596,-0.5328807,-0.33041388,-0.0451775,-1.4168898,-1.4346726,-0.97703266,0.058154862,-0.19704376,-0.6725835,-0.6447486,-0.9571284,-0.8781548,-0.8216712,-0.31059822,-0.5417434,-0.6727752,-0.35288084,-0.61317784,-0.638577,-0.69827884,-1.5298766,-0.633168,-0.5543237,-1.4193598,-0.48801848,0.41688636,-0.977098,-0.44174686,1.1907618,-0.106411576,0.8966739,1.8301171,-0.30851316,0.6976168,0.425604,0.61381644,1.3027899,0.43353572,1.0958132,1.4543835,1.0962261,0.3504878,0.13165477,0.48305646,0.54895246,-0.35375455,0.33110738,-0.29600698,0.061954144,-0.3944557,-0.22246927,-0.06744075,0.21340811,-0.34319547,-0.5889602,-0.3098279,-0.7757166,-0.27392876,-0.09377453,-0.64197475,-0.10944894,-0.46085376,-0.31514686,-0.9106337,0.59499,-0.19326389,-0.13802616
0.7893677,0.5015513,0.29335794,0.6784226,0.4640621,0.47714177,0.066993,-0.045915697,-0.092501804,0.8217112,0.10921014,0.54954636,-0.3178972,0.07732918,0.49329206,-0.27191624,-0.08806988,-0.08238854,0.07776128,-0.24956028,-0.18022121,0.46553677,-0.7689284,0.7481138,-0.19406474,-0.19336489,0.16185005,-1.2051823,-1.5915385,-0.67487204,0.33340508,-0.1761556,-0.4170037,-0.22939423,-0.9542443,-0.6558848,-0.3518414,-0.19491114,-0.41602525,-0.7746505,-0.25151202,-0.36245766,-0.24234232,-0.3170887,-1.4497997,-0.4377216,-0.08122803,-1.1600099,-0.4502729,0.31781158,-0.74238133,-0.20516741,0.94990534,0.10557095,1.1834869,1.5743374,0.080779545,0.70601946,0.522428,0.40316802,1.1942804,0.40734896,0.8372145,1.4896483,1.0627952,0.3292517,-0.0060546095,0.45203632,0.81731623,-0.18828231,0.48934317,-0.10126473,0.4244617,0.005620167,-0.44461748,0.36914313,0.48097956,-0.1673448,-0.4398094,-0.17014943,-0.6305528,0.049075082,0.32789338,-0.5218141,0.20819087,-0.017332666,0.09951697,-1.0321083,0.49700487,0.19638334,-0.15375449
0.79509413,0.77316356,0.4583574,0.74590516,0.26666808,0.8361653,-0.072727636,-0.20672475,-0.32479852,0.78851783,-0.10961499,0.91006434,0.016290009,0.41168314,0.33712545,0.06951614,-0.036736317,-0.009951239,-0.038630676,-0.19116917,-0.14239252,0.533048,-0.7286384,0.7606494,0.12732941,-0.04849878,0.4522663,-0.89141846,-1.6247058,-0.30284348,0.62695336,-0.115569144,-0.15356573,0.27330905,-0.7989092,-0.3444345,0.23832312,-0.04898676,-0.22585051,-0.77166224,-0.14737535,-0.099507324,0.13951558,0.09224399,-1.256948,-0.1928779,0.41862744,-0.8097037,-0.38490048,0.21247044,-0.42896548,0.05917168,0.60623544,0.32949692,1.4016955,1.1887497,0.51317596,0.644835,0.56888884,0.16198921,0.97682947,0.44308788,0.5284516,1.4657649,0.9808485,0.28968292,-0.11130318,0.40122882,1.0788091,0.010545983,0.62153107,0.12898488,0.78625965,0.4878168,-0.6259599,0.8244563,0.7512582,0.1331573,-0.21706966,0.08976547,-0.3596516,0.40531617,0.72158897,-0.3208709,0.51080996,0.44848797,0.57453734,-1.0660204,0.32691467,0.58838713,-0.14748375
