AAL3_20,AAL3_21,AAL3_22,AAL3_23,AAL3_40,AAL3_41,AAL3_42,AAL3_43,AAL3_44,AAL3_45,AAL3_70,AAL3_71,AAL3_72,AAL3_73,AAL3_90,AAL3_91
1.292173,1.0072695,0.09592124,-0.4633942,1.9174589,0.0754923,0.93397695,-0.6922316,0.040530913,-0.123338446,-0.22728348,-1.5292252,-0.38350213,-2.4170864,0.054189365,-0.5010286
1.1122271,0.8977567,0.049445856,-0.44354525,1.5786321,-0.07930938,0.97734344,-0.7064755,-0.050624058,-0.16722606,-0.33458224,-1.5190955,-0.35055518,-2.28949,0.12531945,-0.28048864
0.88263357,0.77077097,0.037430577,-0.35045448,1.1680629,-0.23362121,1.0505723,-0.66256875,-0.05936317,-0.14094062,-0.4437686,-1.4711989,-0.39553952,-2.153026,0.24528824,-0.01163147
0.60479736,0.6241863,0.06831634,-0.17944412,0.67489374,-0.38809127,1.1567473,-0.53945535,0.010356363,-0.045804195,-0.5412731,-1.3689871,-0.5297344,-2.001966,0.4309631,0.2995292
0.29047367,0.45800003,0.14502062,0.061503924,0.10968061,-0.5352402,1.2888927,-0.31816494,0.13491972,0.1041345,-0.6020744,-1.1938758,-0.7459946,-1.8282365,0.6743281,0.6343889
-0.03848767,0.27435628,0.2581744,0.34673992,-0.4850217,-0.6580458,1.4234607,0.0068464377,0.2753746,0.2835307,-0.59414274,-0.93054104,-1.0135701,-1.6261216,0.9309562,0.961524
-0.3569377,0.07501945,0.37890312,0.6314592,-1.0376287,-0.7360816,1.5194404,0.413739,0.39190325,0.4628825,-0.49332425,-0.5760127,-1.2832681,-1.3985767,1.1277943,1.2423704
-0.648614,-0.14333828,0.45613396,0.8562031,-1.4701225,-0.75883365,1.528184,0.8456548,0.4603335,0.6176544,-0.3041162,-0.14872845,-1.5032744,-1.159072,1.1955723,1.4421859
-0.91649646,-0.3920755,0.42481297,0.9581697,-1.7320867,-0.73789346,1.4120157,1.2190312,0.47736666,0.7324635,-0.07225216,0.30941504,-1.636761,-0.92381966,1.1100886,1.5419527
-1.18159,-0.68566674,0.22802983,0.8883883,-1.8251972,-0.70637894,1.1615793,1.4493707,0.44985524,0.7974202,0.124814495,0.74239826,-1.6700393,-0.6980201,0.91291255,1.5454495
-1.4658527,-1.0263065,-0.1524297,0.6317847,-1.7995244,-0.7008883,0.8016084,1.484125,0.37948775,0.80244386,0.20965098,1.0972676,-1.608582,-0.46851218,0.69319445,1.4774407
-1.7662895,-1.3841884,-0.6716349,0.22354467,-1.7211645,-0.73465216,0.38315198,1.3260356,0.25935316,0.73869747,0.14219145,1.3396161,-1.4682357,-0.21234846,0.5402223,1.3723235
-2.0363462,-1.6873316,-1.2200353,-0.24831615,-1.6311802,-0.7797095,-0.03163713,1.0338453,0.08624005,0.60880727,-0.059237625,1.459693,-1.2694727,0.08342425,0.49647644,1.2566291
-2.189753,-1.8335742,-1.6527355,-0.6621143,-1.5226129,-0.77277976,-0.38515213,0.6983603,-0.12393433,0.43638363,-0.32526755,1.4688901,-1.0350792,0.40721273,0.5385147,1.1327301
