AAL3_20,AAL3_21,AAL3_22,AAL3_23,AAL3_40,AAL3_41,AAL3_42,AAL3_43,AAL3_44,AAL3_45,AAL3_70,AAL3_71,AAL3_72,AAL3_73,AAL3_90,AAL3_91
1.484275,1.7167478,-0.85687256,-0.64101565,-1.0351939,-1.0905719,-1.462376,-1.9180801,0.47376612,-1.0130177,-1.5490737,-1.860991,0.657361,0.4985784,0.028738746,0.24880601
1.2239854,1.2890774,-0.6368183,-0.5294305,-0.6969323,-0.89063185,-0.94014925,-1.4547193,0.69821316,-0.7638398,-1.0905398,-1.5067068,0.8646074,0.7503475,0.18762404,0.3193521
0.88156974,0.75329167,-0.313136,-0.3483211,-0.23895124,-0.5595634,-0.29317465,-0.90615225,0.9714756,-0.48044392,-0.4721404,-0.9929607,1.1900574,1.1325074,0.387311,0.42035437
0.47416764,0.13286583,0.12205987,-0.08917841,0.30956182,-0.115444824,0.43763188,-0.29107445,1.255925,-0.18001327,0.28675085,-0.32895693,1.6257737,1.6419169,0.61129576,0.55660015
0.045857187,-0.5104029,0.6379588,0.2323409,0.8774204,0.3773698,1.1692257,0.33853918,1.482093,0.104574576,1.1090608,0.42399436,2.113648,2.222779,0.82551575,0.7151528
-0.33575332,-1.0779984,1.1481887,0.5647562,1.361678,0.8162092,1.7873815,0.89738584,1.5678368,0.33189407,1.8551593,1.1473148,2.534512,2.7525573,0.9832911,0.8571488
-0.5983489,-1.4585664,1.5194086,0.8244704,1.6630514,1.0974103,2.180634,1.2877352,1.4593034,0.4699358,2.352786,1.6906465,2.73074,3.0627,1.042158,0.92326105
-0.6934805,-1.569709,1.6177319,0.9229668,1.7311487,1.1668644,2.2841094,1.437769,1.1707731,0.5158197,2.4601429,1.9253263,2.568373,3.0017824,0.9866253,0.8580481
-0.6185646,-1.3962529,1.3766667,0.8084093,1.5880953,1.0477129,2.10657,1.3361932,0.789216,0.501275,2.1308196,1.7978928,2.0110514,2.5131004,0.84164727,0.6423046
-0.41784498,-1.0007993,0.84392774,0.49652326,1.3108376,0.8217419,1.7223817,1.0393097,0.43119952,0.4759167,1.439483,1.3502451,1.1563947,1.6759694,0.6639731,0.31032422
-0.16266905,-0.4996357,0.1712179,0.06906497,0.98532456,0.5797357,1.2355442,0.64597625,0.17959614,0.47881812,0.55261886,0.6973118,0.20395143,0.6793422,0.5137779,-0.06324786
0.07507981,-0.018847043,-0.45007926,-0.35961097,0.6665981,0.3801206,0.740483,0.25869992,0.045331713,0.5189947,-0.33433557,-0.01726186,-0.6298149,-0.2568255,0.42380515,-0.39906484
0.2419932,0.34614646,-0.8677912,-0.6864984,0.36860377,0.2407837,0.2997619,-0.046217974,-0.021942593,0.57673526,-1.0567737,-0.6598,-1.1999482,-0.9654512,0.3845944,-0.64664334
0.30970445,0.55161965,-1.0183483,-0.85030866,0.08103415,0.15607217,-0.05818843,-0.23016256,-0.08874827,0.62009877,-1.5139196,-1.1273494,-1.4781425,-1.380205,0.35272864,-0.79573745
0.27317628,0.60429275,-0.9282589,-0.8380936,-0.20648316,0.11437137,-0.3305595,-0.29072627,-0.1947315,0.6215196,-1.6738018,-1.3553711,-1.5390606,-1.5351776,0.27502862,-0.86449707
0.14681844,0.54481524,-0.6803619,-0.6741748,-0.48997244,0.101986445,-0.5305992,-0.25553858,-0.33959287,0.56458896,-1.5617391,-1.3214195,-1.5056823,-1.5297664,0.11454878,-0.8789753
-0.039384417,0.42629635,-0.37179118,-0.4038728,-0.7501512,0.09865584,-0.680187,-0.17330046,-0.50036293,0.44242948,-1.2430083,-1.047091,-1.4873985,-1.4812226,-0.13408484,-0.8593521
-0.24570222,0.29633236,-0.08423123,-0.08030996,-0.9583323,0.07765615,-0.80251616,-0.09954492,-0.6568626,0.25505984,-0.80390966,-0.59374195,-1.5397129,-1.4835203,-0.4455138,-0.8179024
