AAL3_20,AAL3_21,AAL3_22,AAL3_23,AAL3_40,AAL3_41,AAL3_42,AAL3_43,AAL3_44,AAL3_45,AAL3_70,AAL3_71,AAL3_72,AAL3_73,AAL3_90,AAL3_91
2.214917,1.8037219,-0.21247582,0.07091349,0.9170851,-1.8028203,1.1784074,-1.4929328,1.5799478,-0.9499968,1.754917,1.4526417,-1.3647237,-1.3824362,1.6144239,-2.3319612
2.0953476,1.6966227,-0.062323175,0.23275325,0.7120345,-1.594148,1.0126218,-1.4779058,1.4246101,-0.4822001,1.563253,1.1985452,-1.0284861,-1.180803,1.5896933,-2.0744936
1.9440876,1.5851647,0.11098397,0.41145587,0.52586997,-1.255991,0.88515407,-1.3435309,1.25643,-0.012077888,1.3205395,0.90903383,-0.6600883,-0.96517986,1.5469477,-1.7514168
1.7428305,1.4579222,0.28021014,0.5854529,0.3638664,-0.8180599,0.8045814,-1.0797554,1.0668314,0.43596244,1.0305328,0.5913444,-0.27916554,-0.75437057,1.4784765,-1.357615
1.4616002,1.2833769,0.39853975,0.71345127,0.21904974,-0.3454129,0.75761974,-0.7047936,0.83734,0.81624204,0.7010173,0.25494578,0.08656975,-0.57398844,1.3722433,-0.89218944
1.0670229,1.0177193,0.4113591,0.7455983,0.07378705,0.07778958,0.70765394,-0.26811463,0.5469509,1.0715336,0.3437484,-0.08867986,0.40982956,-0.4438234,1.2133902,-0.36724582
0.54202616,0.6297676,0.28147152,0.64890784,-0.08966627,0.38091296,0.60621893,0.15916681,0.18905243,1.1582114,-0.024717685,-0.4249357,0.67495024,-0.36135614,0.9900922,0.18011019
-0.09191037,0.13107748,0.015033898,0.43295595,-0.27508727,0.5362835,0.41370916,0.50280976,-0.2111497,1.0739088,-0.3818771,-0.73459554,0.88287497,-0.29508966,0.70321083,0.68148816
-0.7670813,-0.41290483,-0.33207023,0.15370068,-0.46569502,0.5625676,0.11792188,0.7026918,-0.5942147,0.8652508,-0.70033234,-0.9943242,1.0429536,-0.19893214,0.37541866,1.0479549
-1.3871326,-0.9050147,-0.6768651,-0.11362382,-0.6307175,0.500133,-0.25817937,0.7224489,-0.8867739,0.60435534,-0.9530818,-1.1806762,1.1556772,-0.04162954,0.053500704,1.2004226
-1.861776,-1.2588998,-0.94764715,-0.31546572,-0.7387808,0.3816809,-0.6585745,0.55473745,-1.034203,0.3480586,-1.121332,-1.2759814,1.2004529,0.17097604,-0.20030327,1.1069803
-2.1372516,-1.4316177,-1.1120584,-0.44464567,-0.7673042,0.22274607,-1.002255,0.22726205,-1.0243434,0.10883741,-1.1998041,-1.2729995,1.1401418,0.39930114,-0.32682133,0.8058367
-2.2060022,-1.4263982,-1.1779652,-0.5318572,-0.7046661,0.0342802,-1.1991533,-0.1937055,-0.8877861,-0.14226379,-1.1957322,-1.1767869,0.9410437,0.5956767,-0.29192582,0.39868534
-2.0957873,-1.2717365,-1.1714162,-0.6130801,-0.55052197,-0.16062973,-1.1777016,-0.61219406,-0.67749894,-0.44320616,-1.1226945,-1.0043131,0.59542644,0.7306356,-0.10267154,0.015738629
-1.8511479,-0.9993268,-1.1107336,-0.6980215,-0.31854352,-0.32338935,-0.9172765,-0.92814875,-0.443063,-0.8005534,-0.99412197,-0.78225636,0.13285537,0.80030286,0.19052926,-0.23111854
-1.5198617,-0.63800234,-0.99455285,-0.76046586,-0.038218893,-0.41208142,-0.46612003,-1.0706271,-0.21471067,-1.1671959,-0.8205955,-0.54223365,-0.38462013,0.8141814,0.5082197,-0.28543478
-1.1482147,-0.22319601,-0.80894977,-0.75437057,0.2503342,-0.39882192,0.07192854,-1.0210754,-0.003283456,-1.453813,-0.61145234,-0.3135976,-0.8781434,0.7790703,0.7672112,-0.15804785
