AAL3_20,AAL3_21,AAL3_22,AAL3_23,AAL3_40,AAL3_41,AAL3_42,AAL3_43,AAL3_44,AAL3_45,AAL3_70,AAL3_71,AAL3_72,AAL3_73,AAL3_90,AAL3_91
0.85099256,1.1516001,0.94740283,0.93945676,-2.1837962,0.12132466,-2.155204,-0.36808974,-1.7792813,0.3415609,0.09426576,-0.19152151,0.38589045,1.8781731,-1.1925033,-0.1889086
0.8009282,1.1307093,1.0640652,0.9279382,-1.6520984,-0.040280253,-1.4625746,-0.16288051,-1.2994767,0.37391412,0.12604079,-0.30128673,0.37166366,1.6899211,-1.1236893,-0.1603933
0.7186443,1.0340103,1.1761016,0.91293603,-1.0564367,-0.18267299,-0.6749044,0.06523961,-0.7483598,0.39518386,0.13511875,-0.45271853,0.34092766,1.4433198,-0.97955984,-0.07147786
0.5995979,0.86012125,1.2540431,0.87892824,-0.4196348,-0.30084375,0.14095667,0.2807076,-0.1667804,0.37838697,0.12725379,-0.62809515,0.30034128,1.1533337,-0.75536746,0.057010256
0.44864783,0.62989277,1.2611419,0.80764955,0.20570953,-0.40206778,0.8731074,0.42979875,0.36804324,0.28554118,0.11873591,-0.78794056,0.2567811,0.8433546,-0.46917686,0.18029878
0.27885032,0.3861068,1.1615977,0.68220127,0.7425433,-0.5034248,1.3854742,0.4553616,0.7543087,0.08093285,0.13777633,-0.8726417,0.21587603,0.5416427,-0.16651703,0.23522346
0.10494101,0.18046455,0.9331087,0.49242294,1.1118852,-0.6200242,1.563921,0.32115364,0.89924276,-0.24706896,0.2193704,-0.8176462,0.18197584,0.27593437,0.087844,0.16053146
-0.06416214,0.052029647,0.579434,0.23990105,1.2638878,-0.7495742,1.3680764,0.032919966,0.7621396,-0.66692734,0.39172757,-0.5807598,0.15911122,0.06781477,0.23153783,-0.073418625
-0.22713427,0.009832656,0.13688365,-0.059135344,1.198407,-0.86511314,0.8569828,-0.3577812,0.38122988,-1.102041,0.65834546,-0.16902526,0.15059221,-0.0721798,0.22945629,-0.4417348
-0.38435036,0.030695552,-0.32984045,-0.37448117,0.962176,-0.92357785,0.17077303,-0.769119,-0.13438958,-1.4513979,0.98534596,0.35161594,0.15562157,-0.14832199,0.08744097,-0.86522025
-0.53004897,0.071911,-0.7430664,-0.66714805,0.6281488,-0.8856462,-0.5191043,-1.1129667,-0.64309996,-1.6235285,1.3031546,0.8721386,0.16503899,-0.18083745,-0.15182534,-1.2365972
-0.6503171,0.08891367,-1.0347211,-0.89877826,0.2738324,-0.7337852,-1.061197,-1.3155025,-1.0163548,-1.5669227,1.5243884,1.2750385,0.16096218,-0.20188423,-0.42524478,-1.4591597
-0.7291352,0.04861912,-1.1679243,-1.0425278,-0.030595127,-0.47788614,-1.3551453,-1.3312149,-1.1694968,-1.2838489,1.5709746,1.4712989,0.1227374,-0.24579942,-0.66726166,-1.4780132
-0.75762796,-0.06387547,-1.148293,-1.0905613,-0.22726211,-0.14764231,-1.3607444,-1.1527716,-1.0707988,-0.824623,1.3988419,1.4241871,0.035810295,-0.33749402,-0.822538,-1.2909352
-0.7390731,-0.24229775,-1.0193583,-1.0540551,-0.2780442,0.22026674,-1.0953104,-0.81695205,-0.73638624,-0.26899436,1.0104967,1.152938,-0.10315119,-0.4851487,-0.85366654,-0.93902284
-0.6853123,-0.4575018,-0.84422827,-0.9558017,-0.17838538,0.58989733,-0.62762964,-0.40227646,-0.2227754,0.2942935,0.45255196,0.71935177,-0.28822592,-0.68028224,-0.7475546,-0.4872008
-0.6063025,-0.6586655,-0.6827123,-0.82033294,0.02937128,0.9240415,-0.067834705,-0.01391744,0.37836203,0.78147423,-0.19783035,0.2065381,-0.5094812,-0.90259635,-0.5214803,-0.006067254
-0.49984768,-0.7815017,-0.5744788,-0.66769224,0.25618932,1.1776149,0.4523991,0.24345276,0.9488521,1.1207992,-0.8508774,-0.30060935,-0.75429374,-1.1247952,-0.22459203,0.43932757
-0.34967077,-0.7654515,-0.53351754,-0.51312834,0.38899204,1.297884,0.81113386,0.29802474,1.3647864,1.2590142,-1.421761,-0.7283198,-1.002512,-1.3160638,0.071522646,0.7957903
